Guessed_MTOW,Calculated_MTOW
1000,3893.09129928623
1100,3797.06010569698
1200,3713.75024444699
1300,3640.53045410649
1400,3575.47553373465
1500,3517.14001217504
1600,3464.41456521784
1700,3416.43167293649
1800,3372.50173964443
1900,3332.06869986731
2000,3294.678456028
2100,3259.95598384401
2200,3227.58842605815
2300,3197.31240724384
2400,3168.90437800646
2500,3142.17316891159
2600,3116.95418014586
2700,3093.1047983549
2800,3070.50074550465
2900,3049.03314361479
3000,3028.6061350757
3100,3009.13493830453
3200,2990.54424756749
3300,2972.76690714822
3400,2955.74280589838
3500,2939.41795010074
3600,2923.7436815823
3700,2908.6760148964
3800,2894.17507269473
3900,2880.20460252633
4000,2866.73156152087
4100,2853.7257579494
4200,2841.15954066666
4300,2829.00752904313
4400,2817.24637728242
4500,2805.85456805834
4600,2794.81223124882
4700,2784.10098423127
4800,2773.70379076694
4900,2763.60483596531
5000,2753.78941520293
5100,2744.24383518903
5200,2734.95532563569
5300,2725.91196021207
5400,2717.10258564862
5500,2708.51675801443
5600,2700.1446853235
5700,2691.97717573863
5800,2684.00559073755
5900,2676.22180268762
6000,2668.618156346
6100,2661.18743386186
6200,2653.92282290962
6300,2646.81788762642
6400,2639.86654206625
6500,2633.06302591646
6600,2626.40188225158
6700,2619.87793712515
6800,2613.48628082208
6900,2607.22225061394
7000,2601.08141487628
