W_S,T_W_Climb
10,1.28748859
11,1.194134384
12,1.116373477
13,1.050607416
14,0.994265876
15,0.945463954
16,0.90278797
17,0.865156877
18,0.831729861
19,0.801843118
20,0.774965609
21,0.750667442
22,0.72859689
23,0.708463393
24,0.690024821
25,0.673077781
26,0.657450174
27,0.642995397
28,0.629587788
29,0.617119021
30,0.605495211
31,0.594634588
32,0.584465604
33,0.574925381
34,0.565958441
35,0.557515646
36,0.549553317
37,0.542032497
38,0.53491833
39,0.528179535
40,0.521787959
41,0.515718197
42,0.50994726
43,0.504454302
44,0.499220368
45,0.494228191
46,0.489462004
47,0.484907382
48,0.480551102
49,0.47638102
50,0.472385966
51,0.468555643
52,0.464880547
53,0.461351892
54,0.457961542
55,0.454701954
56,0.451566122
57,0.448547533
58,0.445640123
59,0.442838238
60,0.440136602
61,0.437530285
62,0.435014674
63,0.432585451
64,0.430238566
65,0.427970219
66,0.425776839
67,0.42365507
68,0.421601753
69,0.419613912
70,0.41768874
71,0.415823589
72,0.414015959
73,0.412263486
74,0.410563933
75,0.408915184
76,0.407315234
77,0.40576218
78,0.404254221
79,0.402789642
80,0.401366817
81,0.3999842
82,0.39864032
83,0.397333776
84,0.396063235
85,0.394827427
86,0.39362514
87,0.392455218
88,0.391316558
89,0.390208105
90,0.389128853
91,0.38807784
92,0.387054144
93,0.386056884
94,0.385085217
95,0.384138334
96,0.383215461
97,0.382315855
98,0.381438804
99,0.380583625
100,0.379749661
101,0.378936282
102,0.378142883
103,0.377368882
104,0.37661372
105,0.375876857
106,0.375157776
107,0.374455979
108,0.373770985
109,0.373102333
110,0.372449575
111,0.371812284
112,0.371190044
113,0.370582455
114,0.369989133
115,0.369409705
116,0.368843812
117,0.368291107
118,0.367751254
119,0.367223929
120,0.36670882
121,0.366205623
122,0.365714045
123,0.365233804
124,0.364764624
125,0.364306241
126,0.363858397
127,0.363420843
128,0.362993338
129,0.362575649
130,0.362167549
131,0.361768818
132,0.361379243
133,0.360998618
134,0.360626743
135,0.360263422
136,0.359908468
137,0.359561697
138,0.359222932
139,0.358891998
140,0.35856873
141,0.358252963
142,0.357944539
143,0.357643304
144,0.357349108
145,0.357061806
146,0.356781255
147,0.356507319
148,0.356239863
149,0.355978757
150,0.355723873
151,0.355475088
152,0.355232281
153,0.354995337
154,0.354764139
155,0.354538577
156,0.354318543
157,0.354103931
158,0.353894638
159,0.353690563
160,0.353491609
161,0.353297681
162,0.353108685
163,0.35292453
164,0.352745129
165,0.352570394
166,0.352400241
167,0.352234588
168,0.352073355
169,0.351916463
170,0.351763835
171,0.351615397
172,0.351471076
173,0.351330799
174,0.351194499
175,0.351062105
176,0.350933553
177,0.350808775
178,0.35068771
179,0.350570295
180,0.350456469
181,0.350346172
182,0.350239346
183,0.350135935
184,0.350035882
185,0.349939134
186,0.349845636
187,0.349755338
188,0.349668187
189,0.349584134
190,0.349503129
191,0.349425126
192,0.349350077
193,0.349277936
194,0.349208658
195,0.349142199
196,0.349078517
197,0.349017568
198,0.348959311
199,0.348903706
200,0.348850713
201,0.348800293
202,0.348752408
203,0.34870702
204,0.348664093
205,0.34862359
206,0.348585476
207,0.348549717
208,0.348516279
209,0.348485128
210,0.348456232
211,0.348429558
212,0.348405076
213,0.348382753
214,0.348362561
215,0.348344469
216,0.348328448
217,0.34831447
218,0.348302506
219,0.348292529
220,0.348284512
221,0.348278427
222,0.34827425
223,0.348271954
224,0.348271514
225,0.348272905
226,0.348276104
227,0.348281086
228,0.348287827
229,0.348296305
230,0.348306497
231,0.348318381
232,0.348331935
233,0.348347137
234,0.348363966
235,0.348382402
236,0.348402424
237,0.348424011
238,0.348447145
239,0.348471806
240,0.348497975
241,0.348525632
242,0.34855476
243,0.348585341
244,0.348617356
245,0.348650788
246,0.348685619
247,0.348721833
248,0.348759413
249,0.348798343
250,0.348838606
251,0.348880186
252,0.348923068
253,0.348967236
254,0.349012675
255,0.34905937
256,0.349107307
257,0.34915647
258,0.349206846
259,0.349258421
260,0.34931118
261,0.349365111
262,0.349420199
263,0.349476431
264,0.349533796
265,0.349592278
266,0.349651867
267,0.34971255
268,0.349774314
269,0.349837147
270,0.349901038
271,0.349965974
272,0.350031945
273,0.350098938
274,0.350166943
275,0.350235949
276,0.350305945
277,0.350376919
278,0.350448862
279,0.350521763
280,0.350595612
281,0.350670398
282,0.350746112
283,0.350822744
284,0.350900284
285,0.350978723
286,0.351058051
287,0.351138259
288,0.351219337
289,0.351301277
290,0.35138407
291,0.351467707
292,0.351552179
293,0.351637478
294,0.351723595
295,0.351810522
296,0.351898251
297,0.351986774
298,0.352076082
299,0.352166168
300,0.352257024
301,0.352348643
302,0.352441016
303,0.352534136
304,0.352627997
305,0.35272259
306,0.352817908
307,0.352913945
308,0.353010694
309,0.353108147
310,0.353206297
311,0.353305138
312,0.353404664
313,0.353504867
314,0.353605742
315,0.353707281
316,0.353809479
317,0.35391233
318,0.354015826
319,0.354119963
320,0.354224734
321,0.354330132
322,0.354436153
323,0.354542791
324,0.35465004
325,0.354757893
326,0.354866346
327,0.354975394
328,0.35508503
329,0.355195249
330,0.355306046
331,0.355417416
332,0.355529354
333,0.355641854
334,0.355754912
335,0.355868522
336,0.355982679
337,0.356097379
338,0.356212617
339,0.356328388
340,0.356444687
341,0.35656151
342,0.356678853
343,0.356796709
344,0.356915076
345,0.357033948
346,0.357153322
347,0.357273192
348,0.357393556
349,0.357514407
350,0.357635743
