W_S,T_W_TakeOff
10,0.020652284
11,0.022717513
12,0.024782741
13,0.02684797
14,0.028913198
15,0.030978427
16,0.033043655
17,0.035108884
18,0.037174112
19,0.039239341
20,0.041304569
21,0.043369797
22,0.045435026
23,0.047500254
24,0.049565483
25,0.051630711
26,0.05369594
27,0.055761168
28,0.057826397
29,0.059891625
30,0.061956853
31,0.064022082
32,0.06608731
33,0.068152539
34,0.070217767
35,0.072282996
36,0.074348224
37,0.076413453
38,0.078478681
39,0.080543909
40,0.082609138
41,0.084674366
42,0.086739595
43,0.088804823
44,0.090870052
45,0.09293528
46,0.095000509
47,0.097065737
48,0.099130966
49,0.101196194
50,0.103261422
51,0.105326651
52,0.107391879
53,0.109457108
54,0.111522336
55,0.113587565
56,0.115652793
57,0.117718022
58,0.11978325
59,0.121848478
60,0.123913707
61,0.125978935
62,0.128044164
63,0.130109392
64,0.132174621
65,0.134239849
66,0.136305078
67,0.138370306
68,0.140435534
69,0.142500763
70,0.144565991
71,0.14663122
72,0.148696448
73,0.150761677
74,0.152826905
75,0.154892134
76,0.156957362
77,0.159022591
78,0.161087819
79,0.163153047
80,0.165218276
81,0.167283504
82,0.169348733
83,0.171413961
84,0.17347919
85,0.175544418
86,0.177609647
87,0.179674875
88,0.181740103
89,0.183805332
90,0.18587056
91,0.187935789
92,0.190001017
93,0.192066246
94,0.194131474
95,0.196196703
96,0.198261931
97,0.200327159
98,0.202392388
99,0.204457616
100,0.206522845
101,0.208588073
102,0.210653302
103,0.21271853
104,0.214783759
105,0.216848987
106,0.218914216
107,0.220979444
108,0.223044672
109,0.225109901
110,0.227175129
111,0.229240358
112,0.231305586
113,0.233370815
114,0.235436043
115,0.237501272
116,0.2395665
117,0.241631728
118,0.243696957
119,0.245762185
120,0.247827414
121,0.249892642
122,0.251957871
123,0.254023099
124,0.256088328
125,0.258153556
126,0.260218784
127,0.262284013
128,0.264349241
129,0.26641447
130,0.268479698
131,0.270544927
132,0.272610155
133,0.274675384
134,0.276740612
135,0.278805841
136,0.280871069
137,0.282936297
138,0.285001526
139,0.287066754
140,0.289131983
141,0.291197211
142,0.29326244
143,0.295327668
144,0.297392897
145,0.299458125
146,0.301523353
147,0.303588582
148,0.30565381
149,0.307719039
150,0.309784267
151,0.311849496
152,0.313914724
153,0.315979953
154,0.318045181
155,0.32011041
156,0.322175638
157,0.324240866
158,0.326306095
159,0.328371323
160,0.330436552
161,0.33250178
162,0.334567009
163,0.336632237
164,0.338697466
165,0.340762694
166,0.342827922
167,0.344893151
168,0.346958379
169,0.349023608
170,0.351088836
171,0.353154065
172,0.355219293
173,0.357284522
174,0.35934975
175,0.361414978
176,0.363480207
177,0.365545435
178,0.367610664
179,0.369675892
180,0.371741121
181,0.373806349
182,0.375871578
183,0.377936806
184,0.380002035
185,0.382067263
186,0.384132491
187,0.38619772
188,0.388262948
189,0.390328177
190,0.392393405
191,0.394458634
192,0.396523862
193,0.398589091
194,0.400654319
195,0.402719547
196,0.404784776
197,0.406850004
198,0.408915233
199,0.410980461
200,0.41304569
201,0.415110918
202,0.417176147
203,0.419241375
204,0.421306603
205,0.423371832
206,0.42543706
207,0.427502289
208,0.429567517
209,0.431632746
210,0.433697974
211,0.435763203
212,0.437828431
213,0.43989366
214,0.441958888
215,0.444024116
216,0.446089345
217,0.448154573
218,0.450219802
219,0.45228503
220,0.454350259
221,0.456415487
222,0.458480716
223,0.460545944
224,0.462611172
225,0.464676401
226,0.466741629
227,0.468806858
228,0.470872086
229,0.472937315
230,0.475002543
231,0.477067772
232,0.479133
233,0.481198228
234,0.483263457
235,0.485328685
236,0.487393914
237,0.489459142
238,0.491524371
239,0.493589599
240,0.495654828
241,0.497720056
242,0.499785285
243,0.501850513
244,0.503915741
245,0.50598097
246,0.508046198
247,0.510111427
248,0.512176655
249,0.514241884
250,0.516307112
251,0.518372341
252,0.520437569
253,0.522502797
254,0.524568026
255,0.526633254
256,0.528698483
257,0.530763711
258,0.53282894
259,0.534894168
260,0.536959397
261,0.539024625
262,0.541089853
263,0.543155082
264,0.54522031
265,0.547285539
266,0.549350767
267,0.551415996
268,0.553481224
269,0.555546453
270,0.557611681
271,0.55967691
272,0.561742138
273,0.563807366
274,0.565872595
275,0.567937823
276,0.570003052
277,0.57206828
278,0.574133509
279,0.576198737
280,0.578263966
281,0.580329194
282,0.582394422
283,0.584459651
284,0.586524879
285,0.588590108
286,0.590655336
287,0.592720565
288,0.594785793
289,0.596851022
290,0.59891625
291,0.600981478
292,0.603046707
293,0.605111935
294,0.607177164
295,0.609242392
296,0.611307621
297,0.613372849
298,0.615438078
299,0.617503306
300,0.619568535
301,0.621633763
302,0.623698991
303,0.62576422
304,0.627829448
305,0.629894677
306,0.631959905
307,0.634025134
308,0.636090362
309,0.638155591
310,0.640220819
311,0.642286047
312,0.644351276
313,0.646416504
314,0.648481733
315,0.650546961
316,0.65261219
317,0.654677418
318,0.656742647
319,0.658807875
320,0.660873103
321,0.662938332
322,0.66500356
323,0.667068789
324,0.669134017
325,0.671199246
326,0.673264474
327,0.675329703
328,0.677394931
329,0.67946016
330,0.681525388
331,0.683590616
332,0.685655845
333,0.687721073
334,0.689786302
335,0.69185153
336,0.693916759
337,0.695981987
338,0.698047216
339,0.700112444
340,0.702177672
341,0.704242901
342,0.706308129
343,0.708373358
344,0.710438586
345,0.712503815
346,0.714569043
347,0.716634272
348,0.7186995
349,0.720764728
350,0.722829957
