W_S,T_W_Climb
50,0.47244
51,0.46861
52,0.46493
53,0.4614
54,0.45801
55,0.45475
56,0.45162
57,0.4486
58,0.44569
59,0.44289
60,0.44019
61,0.43758
62,0.43506
63,0.43263
64,0.43029
65,0.42802
66,0.42582
67,0.4237
68,0.42165
69,0.41966
70,0.41773
71,0.41587
72,0.41406
73,0.41231
74,0.41061
75,0.40896
76,0.40736
77,0.40581
78,0.4043
79,0.40283
80,0.40141
81,0.40003
82,0.39868
83,0.39738
84,0.39611
85,0.39487
86,0.39367
87,0.3925
88,0.39136
89,0.39025
90,0.38917
91,0.38812
92,0.3871
93,0.3861
94,0.38513
95,0.38418
96,0.38326
97,0.38236
98,0.38148
99,0.38063
100,0.37979
101,0.37898
102,0.37818
103,0.37741
104,0.37666
105,0.37592
106,0.3752
107,0.3745
108,0.37381
109,0.37314
110,0.37249
111,0.37185
112,0.37123
113,0.37062
114,0.37003
115,0.36945
116,0.36888
117,0.36833
118,0.36779
119,0.36726
120,0.36675
121,0.36625
122,0.36575
123,0.36527
124,0.3648
125,0.36435
126,0.3639
127,0.36346
128,0.36303
129,0.36262
130,0.36221
131,0.36181
132,0.36142
133,0.36104
134,0.36067
135,0.3603
136,0.35995
137,0.3596
138,0.35926
139,0.35893
140,0.35861
141,0.35829
142,0.35798
143,0.35768
144,0.35739
145,0.3571
146,0.35682
147,0.35655
148,0.35628
149,0.35602
150,0.35576
151,0.35551
152,0.35527
153,0.35503
154,0.3548
155,0.35458
156,0.35436
157,0.35414
158,0.35393
159,0.35373
160,0.35353
161,0.35334
162,0.35315
163,0.35296
164,0.35278
165,0.35261
166,0.35244
167,0.35227
168,0.35211
169,0.35196
170,0.3518
171,0.35165
172,0.35151
173,0.35137
174,0.35123
175,0.3511
176,0.35097
177,0.35085
178,0.35073
179,0.35061
180,0.3505
181,0.35038
182,0.35028
183,0.35017
184,0.35007
185,0.34998
186,0.34988
187,0.34979
188,0.34971
189,0.34962
190,0.34954
191,0.34946
192,0.34939
193,0.34932
194,0.34925
195,0.34918
196,0.34912
197,0.34906
198,0.349
199,0.34894
200,0.34889
201,0.34884
202,0.34879
203,0.34875
204,0.3487
205,0.34866
206,0.34862
207,0.34859
208,0.34855
209,0.34852
210,0.34849
211,0.34847
212,0.34844
213,0.34842
214,0.3484
215,0.34838
216,0.34837
217,0.34835
218,0.34834
219,0.34833
220,0.34832
221,0.34832
222,0.34831
223,0.34831
224,0.34831
225,0.34831
226,0.34831
227,0.34832
228,0.34833
229,0.34833
230,0.34834
231,0.34836
232,0.34837
233,0.34839
234,0.3484
235,0.34842
236,0.34844
237,0.34846
238,0.34849
239,0.34851
240,0.34854
241,0.34856
242,0.34859
243,0.34862
244,0.34866
245,0.34869
246,0.34872
247,0.34876
248,0.3488
249,0.34884
250,0.34888
251,0.34892
252,0.34896
253,0.34901
254,0.34905
255,0.3491
256,0.34915
257,0.3492
258,0.34925
259,0.3493
260,0.34935
261,0.3494
262,0.34946
263,0.34952
264,0.34957
265,0.34963
266,0.34969
267,0.34975
268,0.34981
269,0.34988
270,0.34994
271,0.35
272,0.35007
273,0.35014
274,0.35021
275,0.35027
276,0.35034
277,0.35042
278,0.35049
279,0.35056
280,0.35063
281,0.35071
282,0.35078
283,0.35086
284,0.35094
285,0.35102
286,0.3511
287,0.35118
288,0.35126
289,0.35134
290,0.35142
291,0.35151
292,0.35159
293,0.35168
294,0.35176
295,0.35185
296,0.35194
297,0.35203
298,0.35211
299,0.35221
300,0.3523
301,0.35239
302,0.35248
303,0.35257
304,0.35267
305,0.35276
306,0.35286
307,0.35295
308,0.35305
309,0.35315
310,0.35325
311,0.35334
312,0.35344
313,0.35354
314,0.35364
315,0.35375
316,0.35385
317,0.35395
318,0.35405
319,0.35416
320,0.35426
321,0.35437
322,0.35448
323,0.35458
324,0.35469
325,0.3548
326,0.35491
327,0.35501
328,0.35512
329,0.35523
330,0.35535
331,0.35546
332,0.35557
333,0.35568
334,0.35579
335,0.35591
336,0.35602
337,0.35614
338,0.35625
339,0.35637
340,0.35648
341,0.3566
342,0.35672
343,0.35684
344,0.35695
345,0.35707
346,0.35719
347,0.35731
348,0.35743
349,0.35755
350,0.35768
